descripcion,monto,moneda,categoria,subcategoria
Taxi al centro,338.84,MXN,transporte,privado
Viaje en Uber,1115.14,USD,transporte,privado
Material para clases,839.91,USD,educación,materiales
Factura de agua,1155.43,MXN,servicios,agua
Factura de agua,1109.29,MXN,servicios,agua
Pago de estacionamiento,2379.17,USD,transporte,vehículo personal
Adelanto de renta,464.08,USD,servicios,renta
Agua embotellada,489.41,MXN,comida,bebidas
Boleto para evento cultural,1989.15,MXN,entretenimiento,eventos
Plan Telcel mensual,379.08,MXN,servicios,telefonía
Membresía online,1712.74,USD,compras,digital
Taxi al centro,2089.56,MXN,transporte,privado
Suscripción a Netflix,2374.34,USD,entretenimiento,streaming
Restaurante Italiano,356.48,MXN,comida,restaurantes
Compra en Walmart,1209.08,MXN,compras,supermercado
Boleto para evento cultural,1074.7,USD,entretenimiento,eventos
Inscripción a taller,1854.65,MXN,educación,cursos
Factura de agua,2363.56,USD,servicios,agua
Suscripción a Netflix,1583.05,USD,entretenimiento,streaming
Plan familiar Spotify,1859.04,MXN,entretenimiento,streaming
Consulta médica,919.53,USD,salud,medicina general
Taxi al centro,1198.17,MXN,transporte,privado
Gasolina,431.86,MXN,transporte,vehículo personal
Boleto para evento cultural,1959.68,MXN,entretenimiento,eventos
Boleto de metro,1249.91,USD,transporte,público
Inscripción a taller,491.65,USD,educación,cursos
Compra en Walmart,1437.72,USD,compras,supermercado
Pasaje en autobús,868.54,MXN,transporte,público
Membresía online,374.36,USD,compras,digital
Compra en Amazon Prime,180.69,MXN,compras,tecnología
Decoración para cuarto,2161.33,MXN,compras,hogar
Pago de agua,326.91,MXN,servicios,agua
Inscripción semestre,635.72,MXN,educación,universidad
Mandado del mes,2106.69,USD,compras,supermercado
Curso online,513.51,USD,educación,cursos
Pago de Izzi,1614.18,MXN,servicios,internet
Pago de Izzi,280.79,USD,servicios,internet
Ropa en Zara,827.96,MXN,compras,ropa
Libros académicos,1716.01,USD,educación,materiales
Libros académicos,1685.2,USD,educación,materiales
Café en el campus,1592.55,USD,comida,cafeterías
Inscripción a taller,943.5,MXN,educación,cursos
Plan familiar Spotify,1170.1,USD,entretenimiento,streaming
Accesorios para laptop,1648.54,USD,compras,tecnología
Chequeo dermatológico,1874.25,USD,salud,especialistas
Sudadera nueva,930.48,USD,compras,ropa
Plan Telcel mensual,682.17,MXN,servicios,telefonía
